speaker,num_questions,av_num_words,objection_ratio,strike_ratio,filename
MS. CORBETT,82,16.353658536585368,0.0,0.0,2019-74224.csv
MR. FLAHERTY,80,19.85,0.0,0.0,2019-74498.csv
MR. LANG,231,17.354978354978353,0.030303030303030304,0.0,2019-74498.csv
MR. COYNE,74,14.337837837837839,0.0,0.0,2019-74700.csv
MR. FOTI,9,21.333333333333332,0.1111111111111111,0.0,2019-74700.csv
MR. ROBINSON,1006,17.687872763419485,0.02584493041749503,0.0009940357852882703,2019-74700.csv
MR. ADAMS,731,16.848153214774282,0.012311901504787962,0.0,2019-74913.csv
MR. TRETTER,29,16.586206896551722,0.06896551724137931,0.034482758620689655,2019-74913.csv
MS. CORBETT,108,14.027777777777779,0.10185185185185185,0.009259259259259259,2019-75052.csv
MR. FLYNN,94,16.79787234042553,0.05319148936170213,0.010638297872340425,2019-75111.csv
MS. GROSS,73,15.821917808219178,0.0958904109589041,0.0136986301369863,2019-75111.csv
"ADAM MARTIN, ESQ",214,22.83177570093458,0.0794392523364486,0.037383177570093455,2019-75199_--_Moline.csv
"JOHN EGAN, ESQ",48,29.0625,0.0,0.0,2019-75199_--_Moline.csv
"MICHAEL JOYCE, ESQ",2,43.5,0.0,0.0,2019-75199_--_Moline.csv
MR. RANDY BARON,154,29.24025974025974,0.05194805194805195,0.0,2019-75313_-_Buffett.csv
MR. ROBERT BARON,15,32.0,0.13333333333333333,0.0,2019-75313_-_Buffett.csv
MR. ATWOOD,107,12.878504672897197,0.009345794392523364,0.0,2019-75313_-_Combs.csv
MR. ROBERT BARON,19,17.842105263157894,0.0,0.0,2019-75313_-_Combs.csv
MR. HELLER,389,22.22107969151671,0.017994858611825194,0.005141388174807198,2019-75933.csv
MS. BARRON,76,15.381578947368421,0.02631578947368421,0.0,2019-75933.csv
MR. SCHOLER,562,14.97508896797153,0.005338078291814947,0.0,7.23.19_Robinson.csv
MR. SABATO,303,11.075907590759076,0.006600660066006601,0.0,7.26.19_Kenneth_Bateman.csv
MS. KRENICKY,437,10.558352402745996,0.004576659038901602,0.002288329519450801,7.29.19_Maya_Nelson.csv
MR. LINN,205,14.478048780487805,0.03902439024390244,0.0,7.29.19_Nelson_v._Lopez.csv
MS. WELCH,519,12.177263969171484,0.005780346820809248,0.0,7.30.19_Kelsey_Peloza.csv
MR. BOSLER,16,19.0625,0.0,0.0,77571LGreen081919.csv
MR. HUFFT,143,14.545454545454545,0.0,0.0,77571LGreen081919.csv
MR. ELLERBE,94,18.361702127659573,0.1702127659574468,0.07446808510638298,8-20-19-B-TS.csv
MR. ROBINSON,4,20.75,0.25,0.0,8-20-19-B-TS.csv
MR. ELLERBE,94,18.361702127659573,0.1702127659574468,0.07446808510638298,8-20-19-B.csv
MR. ROBINSON,4,20.75,0.25,0.0,8-20-19-B.csv
MR. HESS,13,14.846153846153847,0.0,0.0,8-20-19-LEXITAS-2ND-WITNESS.csv
MR. LAVIN,268,12.272388059701493,0.007462686567164179,0.0,8-20-19-LEXITAS-2ND-WITNESS.csv
MR. HESS,138,15.572463768115941,0.021739130434782608,0.0,8-20-19-LEXITAS.csv
MR. ELLERBE,298,15.023489932885907,0.1610738255033557,0.03691275167785235,8-20-19-TS.csv
MR. ROBINSON,66,17.96969696969697,0.030303030303030304,0.0,8-20-19-TS.csv
MR. ELLERBE,298,14.983221476510067,0.15436241610738255,0.03691275167785235,8-20-19.csv
MR. ROBINSON,66,17.96969696969697,0.030303030303030304,0.0,8-20-19.csv
MS. FRARE,336,9.342261904761905,0.002976190476190476,0.0,8-20-19_Benjamin_Jones.csv
MS. KOSCIELNIAK,462,11.333333333333334,0.025974025974025976,0.0,8-28-19-LEX-2nd-WITNESS.csv
MR. GOODSTADT,122,13.647540983606557,0.02459016393442623,0.0,8-28-19-LEXITAS.csv
MS. KOSCIELNIAK,9,12.333333333333334,0.2222222222222222,0.0,8-28-19-LEXITAS.csv
MR. SCHLAGNHAUFER,363,10.071625344352617,0.01928374655647383,0.0,81919_Alona_Shchogol.csv
MR. MASTROGIOVANNI,496,14.340725806451612,0.06854838709677419,0.0020161290322580645,"81919_Michael_Colucciello,_MD.csv"
MR. PATTERSON,419,21.513126491646776,0.13365155131264916,0.0,"81919_Michael_Colucciello,_MD.csv"
MR. WEINBERG,93,13.301075268817204,0.010752688172043012,0.0,81919__Kelly_ODonnell.csv
MR. HILL,9,16.22222222222222,0.1111111111111111,0.0,82019_Bob_Duton.csv
MR. NOCHO,325,13.547692307692307,0.003076923076923077,0.0,82019_Bob_Duton.csv
MR. BLUM,128,19.8046875,0.0078125,0.0,82719_Michael_VanderMaten.csv
MR. SLATTERY,4,20.25,0.0,0.0,82719_Michael_VanderMaten.csv
MR. DAVIS,62,12.096774193548388,0.016129032258064516,0.016129032258064516,82819_Sicilia_Saimesier(1).csv
MR. MILEWSKI,52,9.115384615384615,0.0,0.0,82819_Sicilia_Saimesier(1).csv
MR. DAVIS,62,12.096774193548388,0.016129032258064516,0.016129032258064516,82819_Sicilia_Saimesier.csv
MR. MILEWSKI,52,9.115384615384615,0.0,0.0,82819_Sicilia_Saimesier.csv
MR. BUCILLA,74,17.33783783783784,0.0,0.0,9-4-19-LEXITAS.csv
MR. KENNY,66,17.651515151515152,0.015151515151515152,0.0,9-4-19-LEXITAS.csv
MR. KOLKER,1,21.0,0.0,0.0,90815fec(1).csv
MS. KYLIS,287,20.18815331010453,0.003484320557491289,0.0,90815fec(1).csv
MS. KYLIS,234,19.26923076923077,0.008547008547008548,0.0,90828lip.csv
MS. ALEXANDER,1278,11.935837245696401,0.02034428794992175,0.0,90906mur(1).csv
MR. SHUEY,93,16.881720430107528,0.0,0.0,9319_Dr_Gene_Levinstein.csv
MS. STURGES,52,22.096153846153847,0.038461538461538464,0.0,9319_Dr_Gene_Levinstein.csv
MR. BAER,107,15.36448598130841,0.04672897196261682,0.0,9419_Dr_Stepanuk.csv
MR. SMITH,130,16.00769230769231,0.023076923076923078,0.0,9419_Dr_Stepanuk.csv
MS. FRARE,390,9.948717948717949,0.007692307692307693,0.0,Ahmetovic_v._Kelly_-_3-11-19_-_Ahmetovic.csv
MR. BICKHAM,25,23.56,0.52,0.0,Arredondo_-_Juan_-_8-19-19_-_FINAL.csv
MR. NEWTON,864,11.729166666666666,0.04050925925925926,0.0023148148148148147,Arredondo_-_Juan_-_8-19-19_-_FINAL.csv
MR. NEWTON,818,13.528117359413203,0.04645476772616137,0.0012224938875305623,Arredondo_-_Martin_-_8-19-19_-_FINAL.csv
MR. BENEVIDES,234,13.307692307692308,0.021367521367521368,0.004273504273504274,Aug15H_M_1.csv
MR. RAMSDELL,103,13.54368932038835,0.019417475728155338,0.0,Aug15H_M_1.csv
MS. CLOUTIER,90,15.777777777777779,0.0,0.011111111111111112,Aug15H_M_1.csv
MS. SCALISI,5,17.6,0.0,0.0,Aug15H_M_1.csv
MR. ARCHINACO,1372,21.000728862973762,0.07361516034985423,0.03498542274052478,BBertke.csv
MR. WIENCEK,198,13.393939393939394,0.16161616161616163,0.0,BBertke.csv
MR. POOLE,13,14.692307692307692,0.0,0.0,c090419_epp(1).csv
MS. HELLER,487,10.956878850102669,0.028747433264887063,0.0,c090419_epp(1).csv
MS. NURSE-GOODISON,11,18.636363636363637,0.09090909090909091,0.0,c090419_epp(1).csv
MR. BLUM,98,15.193877551020408,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-19-19_-_Clemens_-_FINAL.csv
MR. DIVIS,8,16.125,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-19-19_-_Clemens_-_FINAL.csv
MR. BLUM,126,14.119047619047619,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-19-19_-_Reiff_-_FINAL.csv
MR. DIVIS,1,11.0,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-19-19_-_Reiff_-_FINAL.csv
MR. BLUM,609,15.817733990147783,0.006568144499178982,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-20-19_-_Clemens_-_FINAL.csv
MR. DIVIS,51,19.745098039215687,0.0196078431372549,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-20-19_-_Clemens_-_FINAL.csv
MR. SLATTERY,1,34.0,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-20-19_-_Clemens_-_FINAL.csv
MR. BLUM,234,16.705128205128204,0.008547008547008548,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-20-19_-_Curtis_-_FINAL.csv
MR. DIVIS,66,12.151515151515152,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-20-19_-_Curtis_-_FINAL.csv
MR. BLUM,185,15.583783783783783,0.021621621621621623,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-26-19_-_Farr_-_FINAL.csv
MR. BLUM,89,17.359550561797754,0.011235955056179775,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-26-19_-_Petrovich_-_FINAL.csv
MR. BLUM,375,15.352,0.013333333333333334,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-28-19_-_Smith_-_FINAL.csv
MR. BLUM,108,16.694444444444443,0.018518518518518517,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-29-19_-_Bennett_-_FINAL.csv
MR. GARBARINO,3,27.666666666666668,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-29-19_-_Bennett_-_FINAL.csv
MR. BLUM,89,19.269662921348313,0.033707865168539325,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-29-19_-_Hart_-_FINAL.csv
MR. GARBARINO,2,18.5,0.0,0.0,Capitol_Indemnity_Corporation_v._Euro_Motorcars_Devon_-_8-29-19_-_Hart_-_FINAL.csv
MR. AGUDELO,175,16.251428571428573,0.13714285714285715,0.0,"Collins,_Mary_-_Vol._1(1).csv"
MR. DEATON,101,16.900990099009903,0.04950495049504951,0.0,"Collins,_Mary_-_Vol._1(1).csv"
MR. SUGARMAN,205,18.517073170731706,0.03414634146341464,0.004878048780487805,"Collins,_Mary_-_Vol._1(1).csv"
MS. BATCHELDER,110,11.363636363636363,0.02727272727272727,0.00909090909090909,"Collins,_Mary_-_Vol._1(1).csv"
MS. VELLUCCI,30,14.566666666666666,0.03333333333333333,0.0,"Collins,_Mary_-_Vol._1(1).csv"
MR. BYRON,827,14.607013301088271,0.10278113663845223,0.0024183796856106408,DGS_v._State_Center_-_8-22-19_-_Carroll_-_FINAL.csv
MR. ROSENFELD,14,26.5,0.35714285714285715,0.0,DGS_v._State_Center_-_8-22-19_-_Carroll_-_FINAL.csv
MR. KENNY,423,13.877068557919621,0.026004728132387706,0.002364066193853428,"Donovan,_Lawrence_-_Vol._I.csv"
MR. LYNCH,54,13.703703703703704,0.0,0.0,"Donovan,_Lawrence_-_Vol._I.csv"
MS. HOCKMEYER,32,16.09375,0.0,0.0,"Donovan,_Lawrence_-_Vol._I.csv"
MR. APJOHN,31,9.774193548387096,0.0,0.0,"Donovan,_Lawrence_-_Vol._II.csv"
MR. COSTELLO,90,16.57777777777778,0.011111111111111112,0.0,"Donovan,_Lawrence_-_Vol._II.csv"
MR. KENNY,23,12.956521739130435,0.0,0.0,"Donovan,_Lawrence_-_Vol._II.csv"
